y	x
54.0604858	-6.136388779
54.060486	-6.136392
54.06096051	-6.13641242
54.060974	-6.136413091
54.060974	-6.136944
54.06097412	-6.136944
54.06097412	-6.136944771
54.06152725	-6.136944771
54.06152725	-6.137499809
54.061528	-6.137499809
54.061528	-6.1375
54.061601	-6.1375
54.06180573	-6.1375
54.06180573	-6.138055801
54.06152725	-6.138055801
54.06152725	-6.13861084
54.0616376	-6.138611218
54.061708	-6.138612
54.06180573	-6.138612
54.06180573	-6.139166832
54.0620842	-6.139166832
54.0620842	-6.13971507
54.062084	-6.139722
54.062362	-6.13977
54.062362	-6.140278
54.06263733	-6.140278
54.06263733	-6.140833855
54.062638	-6.140833855
54.062638	-6.140834
54.06263956	-6.140833855
54.0629158	-6.140833855
54.0629158	-6.142499924
54.062916	-6.142499924
54.062916	-6.1425
54.063109	-6.1425
54.063194	-6.1425
54.063194	-6.142881
54.063194	-6.144166
54.06319427	-6.14416599
54.06319427	-6.144166946
54.06347275	-6.144166946
54.06347275	-6.144707268
54.063472	-6.144723
54.06375122	-6.144723
54.06375122	-6.145833969
54.06402588	-6.145833969
54.06402969	-6.146389961
54.064304	-6.146389961
54.064304	-6.146945
54.06402969	-6.146945
54.06402969	-6.147500992
54.06403	-6.147500992
54.06403	-6.147501
54.064304	-6.147501
54.064304	-6.148055
54.06430435	-6.148054972
54.06430435	-6.14805603
54.0648613	-6.14805603
54.0648613	-6.148612022
54.06486768	-6.148612022
54.06513977	-6.148660959
54.06513977	-6.148661137
54.06513977	-6.149167061
54.065418	-6.149167061
54.065418	-6.149773
54.065418	-6.151389
54.06541824	-6.151389
54.06541824	-6.151389122
54.0656929	-6.151390076
54.0656929	-6.153055
54.065418	-6.153055
54.065418	-6.153844
54.065418	-6.154167
54.065311	-6.154167
54.06514	-6.154167
54.06514	-6.154167175
54.06513977	-6.154167175
54.06513977	-6.154721
54.064862	-6.154721
54.06486207	-6.154723167
54.0648613	-6.154723167
54.0648613	-6.155277
54.064584	-6.155277
54.064584	-6.155278206
54.06458282	-6.155278206
54.06458282	-6.156945229
54.0648613	-6.156945229
54.0648613	-6.159166813
54.06486201	-6.159166813
54.064862	-6.159168
54.06513977	-6.159168
54.06513977	-6.160833836
54.06514	-6.160833836
54.06514	-6.160834
54.065309	-6.160834
54.065418	-6.160834
54.065418	-6.161326
54.065418	-6.1625
54.065671	-6.162518
54.0656929	-6.163030307
54.0656929	-6.163055897
54.065694	-6.163055897
54.065694	-6.163056
54.06591	-6.163095
54.06597137	-6.163604804
54.06597137	-6.163610935
54.066528	-6.163610935
54.066528	-6.164829
54.066528	-6.165834
54.066731	-6.165834
54.066806	-6.165834
54.066806	-6.166058
54.066806	-6.166944
54.06680679	-6.166944
54.06680679	-6.166944981
54.06708145	-6.166944981
54.06708261	-6.167114135
54.067084	-6.1675
54.06708526	-6.1675
54.06708527	-6.167500973
54.06847382	-6.167500973
54.06847382	-6.168056011
54.069026	-6.168056011
54.069026	-6.168216
54.069026	-6.16861
54.06902695	-6.16861
54.06902695	-6.168612003
54.06958389	-6.168612003
54.06958389	-6.169166088
54.06967393	-6.169172872
54.06986237	-6.16918727
54.06986237	-6.170805875
54.069862	-6.170832
54.06986237	-6.170832
54.06986237	-6.170834064
54.070136	-6.170834064
54.070136	-6.171696
54.070136	-6.171945
54.07013702	-6.171945
54.07013702	-6.171945095
54.0704155	-6.171945095
54.0704155	-6.172501087
54.07052642	-6.172507355
54.07069397	-6.172516998
54.07069397	-6.173056126
54.07085046	-6.173056126
54.070972	-6.173057
54.070972	-6.173611
54.07097244	-6.173611
54.07097244	-6.173612118
54.071528	-6.173612118
54.071528	-6.174194
54.07236	-6.174194
54.07236	-6.174723
54.07236099	-6.174723
54.07236099	-6.174723148
54.072638	-6.174723148
54.072638	-6.175277
54.07263947	-6.175277
54.07263947	-6.175278187
54.07291794	-6.175278187
54.07291794	-6.176389217
54.073192	-6.176389217
54.073192	-6.176489
54.073192	-6.176945
54.0731926	-6.176944969
54.0731926	-6.17694521
54.07347107	-6.17694521
54.07347107	-6.177481073
54.07347	-6.177499
54.07374954	-6.177541777
54.07374954	-6.17754221
54.07374954	-6.178055763
54.07402802	-6.178055763
54.07402802	-6.179166794
54.074029	-6.179166794
54.074029	-6.179167
54.07430649	-6.179167
54.07430649	-6.181944847
54.07402802	-6.181944847
54.07402802	-6.182499886
54.07430649	-6.182499886
54.07430649	-6.183055878
54.07485962	-6.183055878
54.07485962	-6.183610916
54.074861	-6.183610916
54.074861	-6.183611
54.074947	-6.183611
54.07541656	-6.183611
54.07541656	-6.184166908
54.075973	-6.184166908
