PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	y	x
Leinster	Queen's	Mountrath	3000	8	1	12.5	179	270	53.00256	-7.47514
Connaught	Roscommon	Athlone	6393	342	185	54	151	281	53.423933	-7.94069
Connaught	Roscommon	Boyle	3234	14	8	57.1	291	312	53.972208	-8.297276
Connaught	Roscommon	Roscommon	3349	116	68	58.6	66	293	53.627591	-8.189096
Connaught	Sligo	Sligo	14318	392	196	50	247	309	54.27661	-8.476089
Munster	Tipperary	Caher	3668	116	65	56	103	177	52.37453	-7.925247
Munster	Tipperary	Carriel-on-suir	11049	266	126	47.3	125	307	52.34765	-7.418971
Munster	Tipperary	Cashel	8027	0	0	0	0	0	52.516757	-7.887675
Munster	Tipperary	Clogheen	2049	108	56	51.8	125	171	52.277079	-7.995103
Munster	Tipperary	Clonmel	13505	440	184	41.8	110	221	52.355817	-7.690255
Munster	Tipperary	Fethard	3915	10	9	90	115	128	52.470977	-7.696789
Munster	Tipperary	Nenagh	8618	400	240	60	109	156	52.864297	-8.197556
Munster	Tipperary	Roscrea	5275	90	39	48.3	148	152	52.955179	-7.79847
Munster	Tipperary	Templemore	3685	83	35	42.1	146	235	52.794802	-7.839861
Munster	Tipperary	Thurles	7523	489	259	52.9	135	554	52.680106	-7.804442
Munster	Tipperary	Tipperary	7370	176	80	45.4	108	357	52.473789	-8.161851
Ulster	Tyrone	Cookstown	3006	0	0	0	0	0	54.64102	-6.74429
Ulster	Tyrone	Dungannon	3801	0	0	0	0	0	54.50425	-6.76536
Ulster	Tyrone	Omagh	2947	0	0	0	0	0	54.59657	-7.30691
Ulster	Tyrone	Strabane	4704	0	0	0	0	0	54.827269	-7.463579
Munster	Waterford	Cappoquin	2341	17	8	47	143	283	52.146427	-7.851625
Munster	Waterford	Dungarvan	12382	723	344	47.4	147	282	52.093676	-7.620363
Munster	Waterford	Lismore	3007	91	53	58.2	150	240	52.135818	-7.93768
Munster	Waterford	Portlaw	3647	72	13	18	161	261	52.288199	-7.314441
Munster	Waterford	Tallow	2969	35	19	54.2	147	267	52.092141	-8.00703
Munster	Waterford	Waterford	29288	522	294	56.3	133	278	52.25227	-7.127206
Leinster	Westmeath	Moate	2095	0	0	0	0	0	53.394999	-7.718619
Leinster	Westmeath	Mullingar	4569	190	109	57.3	126	180	53.525933	-7.338138
Leinster	Wexford	Enniscorthy	7016	339	139	41	260	477	52.502197	-6.56613
Leinster	Wexford	Gorey	3365	298	121	40.6	145	464	52.675735	-6.294302
Leinster	Wexford	New_Ross	7543	180	96	53.3	75	389	52.396204	-6.94719
Leinster	Wexford	Wexford	11252	188	76	40.4	275	468	52.336916	-6.463338
Leinster	Wicklow	Arklow	3254	0	0	0	0	0	52.797693	-6.159929
Leinster	Wicklow	Wicklow	2794	0	0	0	0	0	52.980821	-6.044589
