PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	LAT	LONG	x	y
Leinster	Meath	Navan	5628	38	16	42.1	120	242	53.655429	-6.6867	652872.8813	5947671.963
Leinster	Meath	Trim	2269	6	5	83.3	233	287	53.554826	-6.791115	646321.1512	5936262.609
Ulster	Monaghan	Castleblayney	2134	0	0	0	0	0	54.120659	-6.739737	647718.4587	5999307.708
Ulster	Monaghan	Clones	2877	0	0	0	0	0	54.179683	-7.230667	615473.1749	6004959.486
Ulster	Monaghan	Monaghan	4130	130	59	45.3	69	145	54.249205	-6.968313	632370.6918	6013153.915
Leinster	Queen's	Maryborough	3633	0	0	0	0	0	53.032812	-7.298793	614077.4355	5877273.906
Leinster	Queen's	Mountmellick	4755	5	3	60	205	236	53.118148	-7.326738	611982.0169	5886721.732
Leinster	Queen's	Mountrath	3000	8	1	12.5	179	270	53.00256	-7.47514	602324.547	5873642.895
Connaught	Roscommon	Athlone	6393	342	185	54	151	281	53.423933	-7.94069	570391.2404	5919953.858
Connaught	Roscommon	Boyle	3234	14	8	57.1	291	312	53.972208	-8.297276	546093.5585	5980658.123
Connaught	Roscommon	Roscommon	3349	116	68	58.6	66	293	53.627591	-8.189096	553627.1419	5942394.118
Connaught	Sligo	Sligo	14318	392	196	50	247	309	54.27661	-8.476089	534113.9046	6014424.759
Munster	Tipperary	Caher	3668	116	65	56	103	177	52.37453	-7.925247	573163.9608	5803239.35
Munster	Tipperary	Carriel-on-suir	11049	266	126	47.3	125	307	52.34765	-7.418971	607692.2474	5800882.498
Munster	Tipperary	Cashel	8027	0	0	0	0	0	52.516757	-7.887675	575478.0981	5819097.346
Munster	Tipperary	Clogheen	2049	108	56	51.8	125	171	52.277079	-7.995103	568559.1128	5792332.03
Munster	Tipperary	Clonmel	13505	440	184	41.8	110	221	52.355817	-7.690255	589198.1143	5801421.719
Munster	Tipperary	Fethard	3915	10	9	90	115	128	52.470977	-7.696789	588522.2444	5814222.164
Munster	Tipperary	Nenagh	8618	400	240	60	109	156	52.864297	-8.197556	554020.5339	5857476.443
Munster	Tipperary	Roscrea	5275	90	39	48.3	148	152	52.955179	-7.79847	580716.9874	5867960.144
Munster	Tipperary	Templemore	3685	83	35	42.1	146	235	52.794802	-7.839861	578224.5501	5850075.148
Munster	Tipperary	Thurles	7523	489	259	52.9	135	554	52.680106	-7.804442	580824.5481	5837356.577
Munster	Tipperary	Tipperary	7370	176	80	45.4	108	357	52.473789	-8.161851	556929.4348	5814066.745
Ulster	Tyrone	Cookstown	3006	0	0	0	0	0	54.64102	-6.74429	645567.4601	6057183.086
Ulster	Tyrone	Dungannon	3801	0	0	0	0	0	54.50425	-6.76536	644691.762	6041924.86
Ulster	Tyrone	Omagh	2947	0	0	0	0	0	54.59657	-7.30691	609383.2177	6051217.097
Ulster	Tyrone	Strabane	4704	0	0	0	0	0	54.827269	-7.463579	598700.3887	6076652.207
Munster	Waterford	Cappoquin	2341	17	8	47	143	283	52.146427	-7.851625	578577.7934	5777946.248
Munster	Waterford	Dungarvan	12382	723	344	47.4	147	282	52.093676	-7.620363	594512.778	5772355.102
Munster	Waterford	Lismore	3007	91	53	58.2	150	240	52.135818	-7.93768	572706.9099	5776676.603
Munster	Waterford	Portlaw	3647	72	13	18	161	261	52.288199	-7.314441	614965.8208	5794431.28
Munster	Waterford	Tallow	2969	35	19	54.2	147	267	52.092141	-8.00703	568027.0549	5771751.593
Munster	Waterford	Waterford	29288	522	294	56.3	133	278	52.25227	-7.127206	627838.6866	5790749.296
Leinster	Westmeath	Moate	2095	0	0	0	0	0	53.394999	-7.718619	585205.0338	5916977.287
Leinster	Westmeath	Mullingar	4569	190	109	57.3	126	180	53.525933	-7.338138	610163.6799	5932063.7
Leinster	Wexford	Enniscorthy	7016	339	139	41	260	477	52.502197	-6.56613	665197.4986	5819680.849
Leinster	Wexford	Gorey	3365	298	121	40.6	145	464	52.675735	-6.294302	682919.9112	5839635.399
Leinster	Wexford	New_Ross	7543	180	96	53.3	75	389	52.396204	-6.94719	639671.3786	5807089.291
Leinster	Wexford	Wexford	11252	188	76	40.4	275	468	52.336916	-6.463338	672818.5905	5801541.331
Leinster	Wicklow	Arklow	3254	0	0	0	0	0	52.797693	-6.159929	691466.8872	5853546.987
Leinster	Wicklow	Wicklow	2794	0	0	0	0	0	52.980821	-6.044589	698402.4533	5874224.152
